text,label
Dakujeme,0
Chcu urobit vysledok testu naklady obchodu obchode formalny subor,0
chvala bohu mlady chcu zit,0
nedozvedeli mohli dozvediet zdroja,0
velka vacsina nesuhlasi nazor,0
preplo uplne jebo drbnuty,1
informovat politika krajiny akejkolvek skor prezdienta pripade trestny cin vlastizrada dufam nenecha,1
nehanbis davat statusy,1
vies osierat miesto mozgu hovna,1
gratulujem verim,0
testovanie ozaj dobrovolne donutenie ludia neprisli pracu myslim normalne,1
strana olano cisty fasizmus chcu zbavit kompletnej pamate naroda,1
ocakavala,0
chrapun trnavsky neverim rypak oci hovado,1
presne vedel stanedavat neschopnemu planovat obrovsku operaciu clovek totalny amater,1
Ber obleceny,0
Velkej Britanii oznamil uzamknutie mesiacChcem preskumat vsetkych zivot pokracuje neviem povstanie vzbura Mnoho ludi sen,0
idemeeee,0
dojem cela marfuska kopirak,1
drzim paste,0
napady vzdy inspirativne,0
neviem poznam krajsieho,0
cakat falosnej,1
Spravny srdca socialna demokracia,0
zastavte niekto,1
Zadrzat,0
gratulujem slovak narod podany posraty,1
drzim palce,0
stastie,0
nepremyslena akcia typu blackout prvej vlny nerealizovatelna odsudena neuspech,1
mohli takto sedietved necely rok dali slovensko kolenavelka vdaka pan m,1
hovnoa pojdem von,1
psycho,1
Prajem vela energie,0
x pravda,0
kokot jebnuty,1
super drzim palce fandim,0
bla bla blaaaa hnup nemusi robit magora,1
vymenu premiera slovensko malo najst noveho,1
pani h l p n,1
skvely talent tvorenie,0
ide robis ludmi chces hovado,1
Dufam,0
nenavidim celej duse,1
bodaj pravda,0
neni grcanie sameho,1
pane boze nebol premierom spravil slovenskom katastrofa par mesiacov,1
Dam Nechajme smerom AS RAGH SPOLVOCE ASCOLES,0
zobud psychopat,1
psychopata sekty,1
praca vzdy precizna,0
Neexistuju ziadne dokazy Skor naopak Celu cestu pozitivni teraz chori,0
prajeme skore uzdravenia navrat plnej energie ocisty spravneho fungovania zdevastovanej krajine,0
tlieskam,0
nudis jeb zenou nevypisuj picoviny boha,1
drzim palce,0
vies rok cesi poslali slovenskych skol ceskych ucitelovpo vzniku ceskoslovenska,0
maloktory stat moznost treba vyuzit moznost,0
Zistite ist cakania,0
liberalny odvar plati penta,1
jeden preklamany plagiat,1
super presne vravite nudzi poznas priatela,0
vdaka nadalej ror buduci tyzden znova,0
Igor dobry,0
komentar testovaniu znizenie dosahuje znizenim interakcii,0
keby hlupost demencia kvitli rajska zahrada prava ruka nevie robi lava,1
Fesna inteligent,0
clovek nema robit pride rad pojdu svinskym krokom stade hoveda,1
smrtelny virus roznasanie letakov domoch dotykom neprenasa znamenat fakt mysli dakto slovaci hlavu padnuti,1
predsa,0
Dali prsty krizenie dakujem,0
Dakujem poslite vela autority boja,0
uboziaci,1
wau,0
nema chybu,0
super rychlo vybavili,0
odstup magor nejde ludi pofiderne testy debil,1
pateticke cele zle zamyslite tvarite akoby test spasa virus nikam nepojde radsej hladajte informacie vypnite tevizor,1
naozaj srandovnoprimitivneale historiu nevymazes,0
ozaj hlupy,1
jeeej,0
kadeco internete clanky ludia veselo zdielaju rozsiruju dalej nerozmyslaju vobedz hlavo zdielaju podobne bludy clovek opyta nevedia vyjadrit veria,1
kisku potrebujeme stastiu prosim pani prezidentka,1
Uzasne fungovalo tesne vela stresu dali skveeeeeee,0
dojdite jedneho antikoronoveho,0
obrazky parlamentu,0
fraska trapna obycajne divadlo,1
hanbit vraj jasne ides robit pokusnych kralikov dostal sancu uzi volicov volit nebude,1
majte kreativne myslenie,0
cestovna mora,0
buzik,1
drzme palce,0
cely zivot nenavidel nikoho najhorsie zivote poznal karma dostane ver,1
dakujeme,0
pojdes kvetinky vonat,1
jazdite bavorakoch magori,1
lete sedi dobre ludia zimnych minutach zmraziaNa testovanie,0
test nepojdem keby,0
Myslis dobrovolnici,0
igor matovic dat patentovat,0
Nemozem opytat,0
rozkosny rasizmus zredukovat ludi mrk,1
trvale bydlisko inde realne byvam robit nechat podnajom zatovrit ist,0
Smejeme,0
obycajna vydieracka spina,1
dost kokotin,1
pan premier povraz dobrovolne neuvazene hodili okolo krku sam,1
Neviem dobrovolne precital,1
prosim vylieceni mesiace imunni,1
dekady vlad zdravotnictvo doslova srali,1
hoax jedno zatvorene kradol dost vela blazon pometeny dufam coskoro skoncis vlade dobre nespravil ludi prikazujes debil,1
vidieraci obycajni kkt,1
sluzis svetovej elite plnis prikazy postavicka spagatikoch nebudu potrestani,1
Pani prezident hrdy,0
totalne jee sprostu hlavu,1
primarka vyhlasit,0
drzim palce,0
prispevky vzdy poucne,0
,0
nemal nikdy odstupit,0
meste prva rada testovaniesora banany socikudakujeme,0
nekupis smrad jeden nevychovany,1
takom projekte vidno kolko slovnsku problemovych ludipraca ludmi najtazsia,0
dobrovolne silu pojdes testovat prides pracu obycajny arogantny clovek chrbtovej kosti,1
neviem,0
ocakavali pan Premier,0
plne suhlasim,0
znicil zivobitieaj detom zitsyn rodinu zivi rodinuja chora pracujema dcera dostala vypoved gastrosi kompletny premyslas stvarasto ist byvat most copol rok nemame vyplaty niczblaznil samas miliony spamataj blazon nemame zit prepusta krchuju prevadzky blazon idenech slak trafi dobre necakatoto robis strasny hnus spamataj,1
presne vedel stanedavat neschopnemu nadovi planovat obrovsku operaciu clovek totalny amater dokaz ohrozili miliony danovych peniazi,1
prezident kapo,0
Beautiful vysvetlil opisal veci dokonale predtym vysvetlil,0
pan fico sledoval dali riadnu nakladacku minule debilovi hegerovi remiska tupa,1
dobre,0
super dakujeme dobrovolnopovinne testovanie uzasny pan premier zbavili svojpravnosti slobodnom state demokracia,0
velmi inspirativny,0
pozri spravy,0
schizofrenik,1
prefackat,1
Prajem vela sily zdravia Prichadzame,0
hrdina,0
chcem,0
zruste,1
status dnesneho dna,0
urazky,1
pecka,0
predal slovensko magor,1
cakame znova Akonahle premier nabuduce premier,0
minut trvalo,0
pravy,0
Radost spolupracovat takym talentom,0
dnesnej dobe pozera joj markyzu atd radia nulvar kupuje noviny veri hlupacik numero,1
borisovi jedno posli nemocnice,0
debil pil,1
neda hovorit dobro krajiny vlastizradu spina hnusna dala firme trnave,1
jamkovy falosny kkt pffff rozmyslal plosnymi testami druhy marcovy tyzden par desiatok nakazenych ludiaaa vodopady sraciek stekaju ust vlastneho zadku,1
kolko bordel robis sk dostal potkan,1
zapad vzdy stale vzdy lacni otroci,1
jedine cvargou vidno budovanie kanalov letnom pohladom javi akcia celoplosne testovanie zrovna medicinska akcia objednavka testov malej trnavskej fyrmicky neplatic soc odvodov vyrovnala dlh tesne podpisom zmluvy uzavretej dohodou,1
vydierac,1
smiech,1
poradime lepsie pakujte cas,1
novy sef hajzel keket neodychnem,1
opacnom pripade vladnut dusevne chory diktator,1
ospravedlnujem komentujucich,0
Dokonca isiel pekne,0
den samozrejme zasluzi statnych sviatkov,0
krasne snad povzbudzujuce vladu,0
bracho drbnuti,1
sama mafia nasom malom slovensku,1
vieme tyzden,0
peknom utoku Vyjadril solidaritu Preklad urobil Google Facebook nespravne,0
neschopneho premiera,1
ideal,0
zalez,1
krasne gestokonecne x mesiacoch vidim,0
zistili spinavec zapredany nejde zdravie kseft verit zdravotnici,1
hovorim vestec,0
se nezabudni dac otestovac one time next time,1
socialna orientacia strany smer sd,0
debilne media zasobovane lipsicom saleju odsudili urcia nakoniec pojdu,1
cista hlupa krava,1
ukazkove zvladnutie situacie,0
dobrovolne silu pojdes testovat prides pracu obycajny arogantny clovek chrbtovej kosti,1
poriadne dopletenyzmenit liekycim skor,1
Dakujem velmi pekne predsedu vlady,0
jebe podvodnik,1
presne hovoril idem hladat nete,0
skontrolovat celu krajinu dost preskumali jednu osobu,0
obycajne sproste detinske vyhovorky,1
bastard dosiahol chcel velmi netes,1
Prezident dal sach,0
najprv oznaci vedcov mudrlantov ludom vyhraza,1
velmi talentovany,0
plochy test najlepsim riesenim Najlepsim ucinkom dosledku najmensieho poskodenia poskodit nedostatkom clenstva testovani,0
naahodicka,0
chlapce ozaj jebe ozaj vazne ostan doma neukazuj dement,1
jasne kvoli peniazom jedneho pozitivneho e boh vie beriete peniaze pici berte tote spinave peniaze neodpracovali jak ludia rukami dajte pokoj zit ludia niesu urcite hlupy veri sireniu doktori vijadruju mudrejsie samozrejme najmudrejsi fujj velka hamba,1
boze okrem dement,1
napady vzdy brilantne,0
zmrd nedonosenytahaj materi pice,1
fakt nebud sracka spravaj chlap prevezmi zodpovednost,1
stale ludia srdce pravom mieste velmi potesilo,0
Kolko dostanem,0
prvom rade pisu predstaviteloch vlady parlamentu spravaju riesia opozicnych poslancov predsa clenovia vlady,0
chuja treba hladat mikroskopom,1
super dakujem super palec hore,0
idem skontrolovat teraz,0
darmozracov treba prepustit ludia iq neschopnych staci uplne,1
vymazali hanbia,1
pani doktorka premysla sluzi testovani praca neonatologii vypisovani receptov,1
sakramensky tenky lad vladu snami pan boch nevie nikoho zaujimat nebude pokapeme potkany skurveny psychopat,1
ubohe,1
haha,0
drzim palce nedajte,0
keby romovia matovic hnije nekde bazinach,1
verim najmensiu ucast celoplosnej organizovanej nakaze vytyrali statocne veci riesia,1
bravo bravo bravo bravo bravo bravo bravo bravo bravo bravo bravo bravo bravo bravo bravo bravo bravo bravo bravo bravo bravo bravo bravo bravo,0
saskovanie,1
pravdu,0
strasne hlupi,1
ludia chceme slobodni chceme normalne nadychnut dychat vlastny kyslik pojebane rusko,1
testy chora hlava debilna,1
superr prebieha jednickovo,0
Zbiera nohy luto urovni zname vsetkym znamy vsetkym,0
zvedavy dnesne cisla,0
matovicova babika,1
percenticka vazne jedine povedali boj zivot kvoli korone kvoli ludia chvilu nebudu platenie uctov nebudu zrat,1
nakakal donej riadne,1
matovyc debyl uplni debyl,1
nelamentuj saso,1
drzim palce dalej,0
kvoli pitnej vode,0
koncim pomaly zle dopadnete,1
najlepsie narodeninam klarka,0
uzasna bunka vobec,0
testovanie vykaslali rakusky medici vzacni,0
sup sup rady pekne,0
chudak,1
pevne dufam,0
nechodte testovat sparatko zabije zabija slabych coronakeby platilo necudujem zadarmo nechcete chranit slabych,1
pako pojdes slucka utahuje leopoldou caka,1
spolu dokazeme,0
krasne gesto,0
Pekne chybaju komentare najdem pridruzeny odkaz Informacie sprave,0
normalne odmietam fackovaci panak pokusny kralik kedy konecne volby,1
proste sef,0
platit zdravotnu prasivy kokot,1
sulik slizsky had jazyku med,1
sorry napisem pochopil posral vasou komunikaciou zapricinil,1
dobry hoax,1
vsetkych nadrbat dva dni hromadu hodne chuja nemam slov posledny status tvoju osobu krat blokol stale ksicht svieti bloknut nejde odpad,1
hrdi,0
nerobite trebars odvolanie vlady vedie riti celu republiku,1
odstupte nechceme znicili rodiny znicili zivoty nezvladate,1
zmrd stale najvacsi zmrd,1
mudro povedane,0
minut trvalo,0
velka ucastsamozrejmeved pondelok nepustia nikdetak jasnehanba,1
drzime palce urcite podari,0
nizsie naznacene,0
myslel vacsi chuj nebudesale pokazil tosikazdym dnom,1
zvysne choroby jebat neexistuju,1
