text,label
Ďakujeme,0
Chcú urobiť výsledok testu náklady obchodu obchode formálny súbor,0
chvála bohu mladý chcú žiť,0
nedozvedeli mohli dozvedieť zdroja,0
veľká väčšina nesúhlasí názor,0
preplo uplne jebo drbnutý,1
informovať politika krajiny akejkolvek skor prezdienta pripade trestny cin vlastizrada dufam nenechá,1
nehanbíš dávať statusy,1
vies osierat miesto mozgu hovna,1
gratulujem verim,0
testovanie ozaj dobrovolne donutenie ludia neprisli pracu myslim normalne,1
strana oľano čistý fašizmus chcú zbaviť kompletnej pamäte národa,1
očakávala,0
chrapuň trnavský neverím rypak oči hovado,1
presne vedel stanedavat neschopnemu planovat obrovsku operaciu clovek totalny amater,1
Ber oblečený,0
Veľkej Británii oznámil uzamknutie mesiacChcem preskúmať všetkých život pokračuje neviem povstanie vzbura Mnoho ľudí sen,0
idemeeee,0
dojem celá marfuska kopirak,1
drzim paste,0
nápady vždy inšpiratívne,0
neviem poznam krajšieho,0
čakať falošnej,1
Správny srdca sociálna demokracia,0
zastavte niekto,1
Zadržať,0
gratulujem slovak národ podaný posraty,1
držím palce,0
šťastie,0
nepremyslena akcia typu blackout prvej vlny nerealizovatelna odsudena neuspech,1
mohli takto sedietved necely rok dali slovensko kolenavelka vdaka pan m,1
hovnoa pôjdem von,1
psycho,1
Prajem veľa energie,0
x pravda,0
kokot jebnuty,1
super držím palce fandim,0
bla bla blaaaa hňup nemusí robiť magora,1
výmenu premiéra slovensko malo nájsť nového,1
pani h l p n,1
skvelý talent tvorenie,0
ide robíš ľuďmi chceš hovado,1
Dúfam,0
nenávidím celej duše,1
bodaj pravda,0
neni grcanie samého,1
pane bože nebol premiérom spravil slovenskom katastrofa pár mesiacov,1
Dám Nechajme smerom AS RAGH SPOLVOCE ASCOLES,0
zobud psychopat,1
psychopata sekty,1
práca vždy precízna,0
Neexistujú žiadne dôkazy Skôr naopak Celú cestu pozitívni teraz chorí,0
prajeme skoré uzdravenia návrat plnej energie očisty správneho fungovania zdevastovanej krajine,0
tlieskam,0
nudíš jeb ženou nevypisuj picoviny boha,1
držím palce,0
vies rok cesi poslali slovenskych skol ceskych ucitelovpo vzniku ceskoslovenska,0
máloktorý štát možnosť treba využiť možnosť,0
Zistite ísť čakania,0
liberalny odvar platí penta,1
jeden preklamany plagiat,1
super presne vravíte núdzi poznáš priateľa,0
vdaka nadalej ror buduci tyzden znova,0
Igor dobrý,0
komentár testovaniu zníženie dosahuje znížením interakcií,0
keby hlupost demencia kvitli rajská záhrada prava ruka nevie robí ľavá,1
Fesna inteligent,0
človek nemá robit príde rád pojdu svinskym krokom stade hoveda,1
smrtelny virus roznašanie letakov domoch dotykom neprenáša znamenať fakt myslí dakto slováci hlavu padnutí,1
predsa,0
Dali prsty kríženie ďakujem,0
Ďakujem pošlite veľa autority boja,0
úbožiaci,1
wau,0
nemá chybu,0
super rýchlo vybavili,0
odstup magor nejde ludi pofiderne testy debil,1
pateticke cele zle zamyslite tvarite akoby test spasa virus nikam nepojde radsej hladajte informacie vypnite tevizor,1
naozaj srandovnoprimitívneale historiu nevymažeš,0
ozaj hlupy,1
jéééj,0
kadečo internete články ľudia veselo zdieľajú rozširujú ďalej nerozmýšľajú vobedz hlavo zdieľajú podobne bludy človek opýta nevedia vyjadriť veria,1
kisku potrebujeme šťastiu prosím pani prezidentka,1
Úžasné fungovalo tesné veľa stresu dali skveeeeeee,0
dojdite jedneho antikoronoveho,0
obrazky parlamentu,0
fraška trápna obyčajne divadlo,1
hanbit vraj jasné ideš robiť pokusných králikov dostal šancu uži voličov voliť nebude,1
majte kreatívne myslenie,0
cestovná mora,0
buzik,1
držme palce,0
celý život nenávidel nikoho najhoršie živote poznal karma dostane ver,1
dakujeme,0
pojdes kvetinky voňať,1
jazdite bavorakoch magori,1
